ID_T,ID_D_N,ID_Fecha,Fecha,Dia Semana,Laboral Festivo,Dia Noche,Mes,Fase,Anillos diarios,Anillos acumulados,Longitud Tunel Acumulada,Metros tunel por dia,PK Tuneladora,Geologia,Notas,Produccion Diaria,Tipo,Tipo_Nivel_1,Scatter Excavacion,Scatter Montaje,Parada_Tipo_Desglose,Minutos,Impotancia Parada
1,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada Planificada,,,Topografia,60,Leve
2,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
3,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,180,Moderada
4,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,200,Larga
5,1,1,27/06/2013,Jueves,Laboral,D,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Producción,Excavación,Excavación,,Excavación,220,Larga
6,2,1,27/06/2013,Jueves,Laboral,N,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada Planificada,,,Topografia,60,Leve
7,2,1,27/06/2013,Jueves,Laboral,N,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,60,Leve
8,2,1,27/06/2013,Jueves,Laboral,N,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Producción,Excavación,Excavación,,Excavación,300,Larga
9,2,1,27/06/2013,Jueves,Laboral,N,Junio,Initial Drive,1,1,17.629,1.949,35090.311,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,300,Larga
10,3,2,28/06/2013,Viernes,Laboral,D,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
11,3,2,28/06/2013,Viernes,Laboral,D,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Guiado,90,Moderada
12,3,2,28/06/2013,Viernes,Laboral,D,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Material Rodante,90,Moderada
13,3,2,28/06/2013,Viernes,Laboral,D,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Producción,Excavación,Excavación,,Excavación,480,Muy Larga
14,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
15,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada Planificada,,,Topografia,80,Moderada
16,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,90,Moderada
17,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,100,Moderada
18,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Preparacion Excavacion,100,Moderada
19,4,2,28/06/2013,Viernes,Laboral,N,Junio,Initial Drive,1,2,20.052,2.423,35092.734,IG,,SI,Producción,Excavación,Excavación,,Excavación,290,Larga
20,5,3,29/06/2013,Sabado,FindeSemana,D,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,90,Moderada
21,5,3,29/06/2013,Sabado,FindeSemana,D,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Producción,Excavación,Excavación,,Excavación,230,Larga
22,5,3,29/06/2013,Sabado,FindeSemana,D,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Parada ,Parada No Planificada - Otros,,,Subestacion,400,Muy Larga
23,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Parada ,Parada Planificada,,,Topografia,20,Leve
24,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Producción,Excavación,Excavación,,Excavación,70,Moderada
25,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,90,Moderada
26,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,160,Moderada
27,6,3,29/06/2013,Sabado,FindeSemana,N,Junio,Initial Drive,1,3,21.075,1.023,35093.757,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Preparacion Excavacion,380,Muy Larga
28,7,4,30/06/2013,Domingo,FindeSemana,D,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Parada ,Parada Planificada,,,Topografia,40,Leve
29,7,4,30/06/2013,Domingo,FindeSemana,D,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,60,Leve
30,7,4,30/06/2013,Domingo,FindeSemana,D,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Producción,Excavación,Excavación,,Excavación,220,Larga
31,7,4,30/06/2013,Domingo,FindeSemana,D,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,400,Muy Larga
32,8,4,30/06/2013,Domingo,FindeSemana,N,Junio,Initial Drive,1,4,21.874,0.799,35094.556,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
33,9,5,1/7/2013,Lunes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,60,Leve
34,9,5,1/7/2013,Lunes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,660,Muy Larga
35,10,5,1/7/2013,Lunes,Laboral,N,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
36,11,6,2/7/2013,Martes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada Planificada,,,Hora Comida,60,Leve
37,11,6,2/7/2013,Martes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,160,Moderada
38,11,6,2/7/2013,Martes,Laboral,D,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,500,Muy Larga
39,12,6,2/7/2013,Martes,Laboral,N,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada Planificada,,,Hora Comida,60,Leve
40,12,6,2/7/2013,Martes,Laboral,N,Julio,Initial Drive,0,4,21.874,0,35094.556,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,660,Muy Larga
41,13,7,3/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,70,Moderada
42,13,7,3/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema Acondicionamiento,140,Moderada
43,13,7,3/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Producción,Excavación,Excavación,,Excavación,510,Muy Larga
44,14,7,3/7/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Parada ,Parada Planificada,,,Topografia,50,Leve
45,14,7,3/7/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,60,Leve
46,14,7,3/7/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Producción,Excavación,Excavación,,Excavación,210,Larga
47,14,7,3/7/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,5,23.397,1.523,35096.079,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Grasas,400,Muy Larga
48,15,8,4/7/2013,Jueves,Laboral,D,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema Acondicionamiento,40,Leve
49,15,8,4/7/2013,Jueves,Laboral,D,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Producción,Excavación,Excavación,,Excavación,70,Moderada
50,15,8,4/7/2013,Jueves,Laboral,D,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Grasas,180,Moderada
51,15,8,4/7/2013,Jueves,Laboral,D,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,180,Moderada
52,15,8,4/7/2013,Jueves,Laboral,D,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema PLC,250,Larga
53,16,8,4/7/2013,Jueves,Laboral,N,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,100,Moderada
54,16,8,4/7/2013,Jueves,Laboral,N,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,120,Moderada
55,16,8,4/7/2013,Jueves,Laboral,N,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Parada ,Parada Planificada,,,Limpieza General,190,Larga
56,16,8,4/7/2013,Jueves,Laboral,N,Julio,Initial Drive,0,5,24.667,1.27,35097.349,IG,,SI,Producción,Excavación,Excavación,,Excavación,310,Larga
57,17,9,5/7/2013,Viernes,Laboral,D,Julio,Initial Drive,2,7,26.045,1.378,35098.727,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
58,17,9,5/7/2013,Viernes,Laboral,D,Julio,Initial Drive,2,7,26.045,1.378,35098.727,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,180,Moderada
59,17,9,5/7/2013,Viernes,Laboral,D,Julio,Initial Drive,2,7,26.045,1.378,35098.727,IG,,SI,Producción,Excavación,Excavación,,Excavación,480,Muy Larga
60,18,9,5/7/2013,Viernes,Laboral,N,Julio,Initial Drive,2,7,26.045,1.378,35098.727,IG,,SI,Parada ,Parada Planificada,,,Topografia,30,Leve
61,18,9,5/7/2013,Viernes,Laboral,N,Julio,Initial Drive,2,7,26.045,1.378,35098.727,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Grasas,80,Moderada
62,18,9,5/7/2013,Viernes,Laboral,N,Julio,Initial Drive,2,7,26.045,1.378,35098.727,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,150,Moderada
63,18,9,5/7/2013,Viernes,Laboral,N,Julio,Initial Drive,2,7,26.045,1.378,35098.727,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,150,Moderada
64,18,9,5/7/2013,Viernes,Laboral,N,Julio,Initial Drive,2,7,26.045,1.378,35098.727,IG,,SI,Producción,Excavación,Excavación,,Excavación,310,Larga
65,19,10,6/7/2013,Sabado,FindeSemana,D,Julio,Initial Drive,1,8,28.4,2.355,35101.082,IG,,SI,Parada ,Parada No Planificada - Otros,,,Instrumentacion,120,Moderada
66,19,10,6/7/2013,Sabado,FindeSemana,D,Julio,Initial Drive,1,8,28.4,2.355,35101.082,IG,,SI,Producción,Excavación,Excavación,,Excavación,600,Muy Larga
67,20,10,6/7/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,8,28.4,2.355,35101.082,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
68,20,10,6/7/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,8,28.4,2.355,35101.082,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,120,Moderada
69,20,10,6/7/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,8,28.4,2.355,35101.082,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,210,Larga
70,20,10,6/7/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,8,28.4,2.355,35101.082,IG,,SI,Producción,Excavación,Excavación,,Excavación,330,Larga
71,21,11,7/7/2013,Domingo,FindeSemana,D,Julio,Initial Drive,0,8,28.4,0,35101.082,IG,,NO,Parada ,Parada Planificada,,,Cambio de turno,720,Turno Completo
72,22,11,7/7/2013,Domingo,FindeSemana,N,Julio,Initial Drive,0,8,28.4,0,35101.082,IG,,NO,Parada ,Parada Planificada,,,Cambio de turno,720,Turno Completo
73,23,12,8/7/2013,Lunes,Laboral,D,Julio,Initial Drive,1,9,30.258,1.858,35102.94,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,120,Moderada
74,23,12,8/7/2013,Lunes,Laboral,D,Julio,Initial Drive,1,9,30.258,1.858,35102.94,IG,,SI,Producción,Excavación,Excavación,,Excavación,600,Muy Larga
75,24,12,8/7/2013,Lunes,Laboral,N,Julio,Initial Drive,1,9,30.258,1.858,35102.94,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema Erector,60,Leve
76,24,12,8/7/2013,Lunes,Laboral,N,Julio,Initial Drive,1,9,30.258,1.858,35102.94,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,110,Moderada
77,24,12,8/7/2013,Lunes,Laboral,N,Julio,Initial Drive,1,9,30.258,1.858,35102.94,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema PLC,120,Moderada
78,24,12,8/7/2013,Lunes,Laboral,N,Julio,Initial Drive,1,9,30.258,1.858,35102.94,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,170,Moderada
79,24,12,8/7/2013,Lunes,Laboral,N,Julio,Initial Drive,1,9,30.258,1.858,35102.94,IG,,SI,Producción,Excavación,Excavación,,Excavación,260,Larga
80,25,13,9/7/2013,Martes,Laboral,D,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,40,Leve
81,25,13,9/7/2013,Martes,Laboral,D,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Guiado,120,Moderada
82,25,13,9/7/2013,Martes,Laboral,D,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,140,Moderada
83,25,13,9/7/2013,Martes,Laboral,D,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Producción,Excavación,Excavación,,Excavación,420,Muy Larga
84,26,13,9/7/2013,Martes,Laboral,N,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Mortero,30,Leve
85,26,13,9/7/2013,Martes,Laboral,N,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Parada ,Parada Planificada,,,Topografia,40,Leve
86,26,13,9/7/2013,Martes,Laboral,N,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,70,Moderada
87,26,13,9/7/2013,Martes,Laboral,N,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema Hidraulico,110,Moderada
88,26,13,9/7/2013,Martes,Laboral,N,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,170,Moderada
89,26,13,9/7/2013,Martes,Laboral,N,Julio,Initial Drive,2,11,32.215,1.957,35104.897,IG,,SI,Producción,Excavación,Excavación,,Excavación,300,Larga
90,27,14,10/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,12,33.067,0.852,35105.749,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,80,Moderada
91,27,14,10/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,12,33.067,0.852,35105.749,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,180,Moderada
92,27,14,10/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,12,33.067,0.852,35105.749,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Mortero,200,Larga
93,27,14,10/7/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,12,33.067,0.852,35105.749,IG,,SI,Producción,Excavación,Excavación,,Excavación,260,Larga
94,28,14,10/7/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,12,33.067,0.852,35105.749,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
95,29,15,11/7/2013,Jueves,Laboral,D,Julio,Initial Drive,0,12,33.067,0,35105.749,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
96,30,15,11/7/2013,Jueves,Laboral,N,Julio,Initial Drive,0,12,33.067,0,35105.749,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
97,31,16,12/7/2013,Viernes,Laboral,D,Julio,Initial Drive,0,12,33.067,0,35105.749,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
98,32,16,12/7/2013,Viernes,Laboral,N,Julio,Initial Drive,0,12,33.067,0,35105.749,IG,,NO,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,720,Turno Completo
99,33,17,13/07/2013,Sabado,FindeSemana,D,Julio,Initial Drive,1,13,34.461,1.394,35107.143,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
100,33,17,13/07/2013,Sabado,FindeSemana,D,Julio,Initial Drive,1,13,34.461,1.394,35107.143,IG,,SI,Producción,Excavación,Excavación,,Excavación,300,Larga
101,33,17,13/07/2013,Sabado,FindeSemana,D,Julio,Initial Drive,1,13,34.461,1.394,35107.143,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Inyeccion Mortero Secundario,360,Muy Larga
102,34,17,13/07/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,13,34.461,1.394,35107.143,IG,,SI,Parada ,Parada Planificada,,,Topografia,60,Leve
103,34,17,13/07/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,13,34.461,1.394,35107.143,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
104,34,17,13/07/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,13,34.461,1.394,35107.143,IG,,SI,Producción,Excavación,Excavación,,Excavación,190,Larga
105,34,17,13/07/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,13,34.461,1.394,35107.143,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,200,Larga
106,34,17,13/07/2013,Sabado,FindeSemana,N,Julio,Initial Drive,1,13,34.461,1.394,35107.143,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,210,Larga
107,35,18,14/07/2013,Domingo,FindeSemana,D,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Parada ,Parada Planificada,,,Topografia,40,Leve
108,35,18,14/07/2013,Domingo,FindeSemana,D,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,110,Moderada
109,35,18,14/07/2013,Domingo,FindeSemana,D,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Parada ,Parada Planificada,,,Limpieza General,130,Moderada
110,35,18,14/07/2013,Domingo,FindeSemana,D,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Producción,Excavación,Excavación,,Excavación,440,Muy Larga
111,36,18,14/07/2013,Domingo,FindeSemana,N,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema Erector,30,Leve
112,36,18,14/07/2013,Domingo,FindeSemana,N,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
113,36,18,14/07/2013,Domingo,FindeSemana,N,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Material Rodante,60,Leve
114,36,18,14/07/2013,Domingo,FindeSemana,N,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,80,Moderada
115,36,18,14/07/2013,Domingo,FindeSemana,N,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Producción,Excavación,Excavación,,Excavación,220,Larga
116,36,18,14/07/2013,Domingo,FindeSemana,N,Julio,Initial Drive,1,14,37.272,2.811,35109.954,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,270,Larga
117,37,19,15/07/2013,Lunes,Laboral,D,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Parada ,Parada Planificada,,,Topografia,30,Leve
118,37,19,15/07/2013,Lunes,Laboral,D,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,60,Leve
119,37,19,15/07/2013,Lunes,Laboral,D,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Producción,Excavación,Excavación,,Excavación,300,Larga
120,37,19,15/07/2013,Lunes,Laboral,D,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema Erector,330,Larga
121,38,19,15/07/2013,Lunes,Laboral,N,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Parada ,Parada Planificada,,,Topografia,30,Leve
122,38,19,15/07/2013,Lunes,Laboral,N,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,30,Leve
123,38,19,15/07/2013,Lunes,Laboral,N,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,80,Moderada
124,38,19,15/07/2013,Lunes,Laboral,N,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Producción,Excavación,Excavación,,Excavación,110,Moderada
125,38,19,15/07/2013,Lunes,Laboral,N,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,220,Larga
126,38,19,15/07/2013,Lunes,Laboral,N,Julio,Initial Drive,2,16,39.286,2.014,35111.968,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Lubrificacion,250,Larga
127,39,20,16/07/2013,Martes,Laboral,D,Julio,Initial Drive,0,16,39.286,0,35111.968,IG,,NO,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Lubrificacion,720,Turno Completo
128,40,20,16/07/2013,Martes,Laboral,N,Julio,Initial Drive,0,16,39.286,0,35111.968,IG,,NO,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Lubrificacion,720,Turno Completo
129,41,21,17/07/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,60,Leve
130,41,21,17/07/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
131,41,21,17/07/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema Hidraulico,130,Moderada
132,41,21,17/07/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Producción,Excavación,Excavación,,Excavación,170,Moderada
133,41,21,17/07/2013,Miercoles,Laboral,D,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Parada ,Parada Planificada,,,Extension servicios TBM,300,Larga
134,42,21,17/07/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Parada ,Parada Planificada,,,Topografia,20,Leve
135,42,21,17/07/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Parada ,Parada Planificada,,,Hora Comida,60,Leve
136,42,21,17/07/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Producción,Excavación,Excavación,,Excavación,120,Moderada
137,42,21,17/07/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,220,Larga
138,42,21,17/07/2013,Miercoles,Laboral,N,Julio,Initial Drive,1,17,40.708,1.422,35113.39,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Ajuste dovelas durante montaje,300,Larga
139,43,22,18/07/2013,Jueves,Laboral,D,Julio,Initial Drive,2,19,44.285,3.577,35116.967,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,140,Moderada
140,43,22,18/07/2013,Jueves,Laboral,D,Julio,Initial Drive,2,19,44.285,3.577,35116.967,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,190,Larga
141,43,22,18/07/2013,Jueves,Laboral,D,Julio,Initial Drive,2,19,44.285,3.577,35116.967,IG,,SI,Producción,Excavación,Excavación,,Excavación,390,Muy Larga
142,44,22,18/07/2013,Jueves,Laboral,N,Julio,Initial Drive,2,19,44.285,3.577,35116.967,IG,,SI,Parada ,Parada No Planificada - Paradas TBM,,,Sistema de Lubrificacion,30,Leve
143,44,22,18/07/2013,Jueves,Laboral,N,Julio,Initial Drive,2,19,44.285,3.577,35116.967,IG,,SI,Producción,Construccion Anillo,,Construccion Anillo,Construccion Anillo,100,Moderada
144,44,22,18/07/2013,Jueves,Laboral,N,Julio,Initial Drive,2,19,44.285,3.577,35116.967,IG,,SI,Parada ,Parada No Planificada - Logistica,,,Limpieza Tuberias Mortero,120,Moderada
